key,operator,year,private,state,regulated,fare_income_million,other_income_million,total_income,staff_costs_millions,diesel_costs_millions,rolling_stock_costs,other_costs,total_costs,subsidy,net_total,ftee,avg_staff_cost_per_staff,passenger_km_billions,passenger_journeys_millions,train_km_millions,route_km,vehicle_km_millions,LEN,stations_managed,age_rollingstock,mean_routekm,mean_trainkm_millions,mean_vehiclekm_millions,mean_avgstaffcost,mean_passkm_million,mean_agers,mean_tc,mean_LEN,ROUTE,TDEN,TLEN,logtc,INP,TDEN2,STATI2,TLEN2,TIME,TIME2,DENSTATI,TDENLEN,STATILN,LFAC,LNAGE,efficiencyu_score,efficiency_score,frontier_output,bigT,yearT,covid
8,Essex_Thameside_(c2c),2015,0,0,1,209.9,11.51,221.41,47.15,0,31.12,89.72,167.99,-51.67,1.75,622,75809.06,1.14,43.42,6.98,115,43.1,6,26,15.03,124,7,47,82448,1,18,183,7,0,0,0,0,0,0,676,0,1,1,80,0,-88,0,0,0,0,0,2023,-8,0
8,Essex_Thameside_(c2c),2016,0,0,1,219.78,12.37,232.15,51.69,0,34.06,74.56,160.3,-60.43,11.41,652,79274.39,1.21,46.64,7.41,126,46.76,6,25,15.05,124,7,47,82448,1,18,183,7,0,0,0,0,0,0,625,0,2,4,59,0,-67,0,0,0,0,0,2023,-7,0
8,Essex_Thameside_(c2c),2017,0,0,1,217.86,11.88,229.74,55.81,0,36.98,74.3,167.09,-72.71,-10.06,682,81834.12,1.21,47.87,7.29,126,48.09,7,25,16.05,124,7,47,82448,1,18,183,7,0,0,0,0,0,0,625,0,3,9,49,0,-40,0,0,0,0,0,2023,-6,0
8,Essex_Thameside_(c2c),2018,0,0,1,222.26,11.52,233.78,55.71,0,27.24,78.07,161.02,-87.29,-14.54,690,80742.9,1.24,49.14,7.29,126,48.41,7,25,17.05,124,7,47,82448,1,18,183,7,0,0,0,0,0,0,625,0,4,16,48,0,-35,0,0,0,0,0,2023,-5,0
8,Essex_Thameside_(c2c),2019,0,0,1,213.01,12.88,225.89,56.12,0,37.58,70.7,164.4,-80.48,-18.99,643,87317.84,1.2,47.32,7.18,126,48.5,7,25,18.05,124,7,47,82448,1,18,183,7,0,0,0,0,0,0,625,0,5,25,39,0,-24,0,0,0,0,0,2023,-4,0
8,Essex_Thameside_(c2c),2020,0,0,1,55.48,6.15,61.62,63.01,0,34.35,108.58,205.93,133.7,-10.61,648,97273.45,0.33,15.01,5.97,126,48.32,8,25,19.05,124,7,47,82448,1,18,183,7,0,0,0,0,0,0,625,0,6,36,-76,0,89,-1,0,0,0,0,2023,-3,1
8,Essex_Thameside_(c2c),2021,0,0,1,115.09,8.65,123.74,56.58,0,54.75,91.81,203.14,80.52,1.12,633,89325.42,0.62,28.06,5.99,126,47.92,8,25,20.62,124,7,47,82448,1,18,183,7,0,0,0,0,0,0,625,0,7,49,-74,0,81,0,0,0,0,0,2023,-2,0
8,Essex_Thameside_(c2c),2022,0,0,1,133.3,9.75,143.06,42.44,0,57.55,109.4,209.39,67.56,1.22,639,66388.25,0.77,33.77,5.91,126,46.65,8,25,22.23,124,7,47,82448,1,18,183,7,0,0,0,0,0,0,625,0,8,64,-83,0,73,0,0,0,0,0,2023,-1,0
8,Essex_Thameside_(c2c),2023,0,0,1,139.89,8.2,148.09,53.66,0,59.49,91.9,205.06,59.17,2.2,638,84068.44,0.83,35.79,6.13,126,44.9,7,25,19.68,124,7,47,82448,1,18,183,7,0,0,0,0,0,0,625,0,9,81,-59,0,26,0,0,0,0,0,2023,0,0
9,Great_Western,2015,0,0,1,1217.75,111.48,1329.23,423.49,83.25,73.56,544.73,1125.04,-143.92,60.26,5914,71608.48,5.97,103.95,43,1997,261.7,6,207,33.39,1997,42,260,67568,5,19,1409,6,0,0,0,0,0,0,42849,0,1,1,597,0,-303,0,1,0,0,0,2023,-8,0
